"ESTU_TIPODOCUMENTO","ESTU_NACIONALIDAD","ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","ESTU_CONSECUTIVO","ESTU_ESTUDIANTE","ESTU_PAIS_RESIDE","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","ESTU_MCPIO_RESIDE","ESTU_COD_RESIDE_MCPIO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_TIENEINTERNET","FAMI_TIENESERVICIOTV","FAMI_TIENECOMPUTADOR","FAMI_TIENELAVADORA","FAMI_TIENEHORNOMICROOGAS","FAMI_TIENEAUTOMOVIL","FAMI_TIENEMOTOCICLETA","FAMI_TIENECONSOLAVIDEOJUEGOS","FAMI_NUMLIBROS","FAMI_COMELECHEDERIVADOS","FAMI_COMECARNEPESCADOHUEVO","FAMI_COMECEREALFRUTOSLEGUMBRE","FAMI_SITUACIONECONOMICA","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","ESTU_TIPOREMUNERACION","COLE_CODIGO_ICFES","COLE_COD_DANE_ESTABLECIMIENTO","COLE_NOMBRE_ESTABLECIMIENTO","COLE_GENERO","COLE_NATURALEZA","COLE_CALENDARIO","COLE_BILINGUE","COLE_CARACTER","COLE_COD_DANE_SEDE","COLE_NOMBRE_SEDE","COLE_SEDE_PRINCIPAL","COLE_AREA_UBICACION","COLE_JORNADA","COLE_COD_MCPIO_UBICACION","COLE_MCPIO_UBICACION","COLE_COD_DEPTO_UBICACION","COLE_DEPTO_UBICACION","ESTU_PRIVADO_LIBERTAD","ESTU_COD_MCPIO_PRESENTACION","ESTU_MCPIO_PRESENTACION","ESTU_DEPTO_PRESENTACION","ESTU_COD_DEPTO_PRESENTACION","PUNT_LECTURA_CRITICA","PERCENTIL_LECTURA_CRITICA","DESEMP_LECTURA_CRITICA","PUNT_MATEMATICAS","PERCENTIL_MATEMATICAS","DESEMP_MATEMATICAS","PUNT_C_NATURALES","PERCENTIL_C_NATURALES","DESEMP_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PERCENTIL_SOCIALES_CIUDADANAS","DESEMP_SOCIALES_CIUDADANAS","PUNT_INGLES","PERCENTIL_INGLES","DESEMP_INGLES","PUNT_GLOBAL","PERCENTIL_GLOBAL","ESTU_ESTADOINVESTIGACION","ESTU_GENERACION-E"
"CC","COLOMBIA","M","09/17/1999","20,201","SB11202010072295","ESTUDIANTE","COLOMBIA","No","VALLE","76","PALMIRA","76,520","Estrato 2","3 a 4","Cuatro","No sabe","Secundaria (Bachillerato) completa",,"Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","No","No","No","MÁS DE 100 LIBROS","3 a 5 veces por semana","3 a 5 veces por semana","3 a 5 veces por semana","Igual","Entre 1 y 2 horas","Entre 1 y 3 horas","Entre 11 y 20 horas","Si, en efectivo","170514","376520006770","ACADEMIA COLOMBIANA DE ENSEÑANZA","MIXTO","NO OFICIAL","B","N","ACADÉMICO","376,520,006,770","ACADEMIA COLOMBIANA DE ENSEÑANZA","S","URBANO","TARDE","76520","PALMIRA","76","VALLE","N","76520","PALMIRA","VALLE","76","77","97","4","62","55","3","60","59","3","69","82","3","65","47","A2","334","74","PUBLICAR","NO"
"CC","COLOMBIA","M","09/17/2001","20,201","SB11202010025189","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 6","5 a 6","Tres","Educación profesional completa","Educación profesional completa","Trabaja en el hogar, no trabaja o estudia","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Si","Si","Si","Si","Si","Si","No","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Igual","Entre 30 y 60 minutos","Más de 3 horas","Menos de 10 horas","Si, en efectivo","019406","311769000921","COL HELVETIA","MIXTO","NO OFICIAL","B","S","ACADÉMICO","311,769,000,921","COL HELVETIA","S","URBANO","COMPLETA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","74","93","4","71","83","4","61","61","3","56","48","3","100","100","B+","341","78","PUBLICAR","NO"
"CC","COLOMBIA","M","09/17/2001","20,201","SB11202010026491","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","LA ESTRELLA","5,380","Estrato 6","3 a 4","Tres","Educación profesional completa","Educación profesional completa","Es agricultor, pesquero o jornalero","Es vendedor o trabaja en atención al público","Si","Si","Si","Si","Si","Si","Si","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","1 o 2 veces por semana","1 o 2 veces por semana","Igual","30 minutos o menos","Más de 3 horas","Menos de 10 horas","Si, en efectivo","156604","305380019472","COLEGIO CANADIENSE","MIXTO","NO OFICIAL","B","S","ACADÉMICO","305,380,019,472","COLEGIO CANADIENSE - SEDE PRINCIPAL","S","RURAL","COMPLETA","05380","LA ESTRELLA","05","ANTIOQUIA","N","05001","MEDELLÍN","ANTIOQUIA","05","46","14","2","52","30","3","54","41","2","32","6","1","71","58","B1","240","23","PUBLICAR","NO"
"CC","COLOMBIA","M","09/17/2002","20,201","SB11202010004178","ESTUDIANTE","COLOMBIA","No","CUNDINAMARCA","25","CABRERA","25,120","Estrato 3","3 a 4","Dos","Educación profesional completa","Educación profesional completa","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","3 a 5 veces por semana","Peor","No leo por entretenimiento","Entre 1 y 3 horas","0","No","164228","425175032351","COL CUMBRES","MIXTO","NO OFICIAL","B",,"ACADÉMICO","425,175,032,351","COL CUMBRES","S","RURAL","COMPLETA","25175","CHÍA","25","CUNDINAMARCA","N","25899","ZIPAQUIRÁ","CUNDINAMARCA","25","71","84","4","67","71","3","62","64","3","71","86","4","86","94","B+","346","81","PUBLICAR","NO"
"CC","COLOMBIA","M","10/17/0001","20,201","SB11202010006902","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 6","5 a 6","Cinco","Educación profesional completa","Educación profesional completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","3 a 5 veces por semana","Igual","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","No","025395","311848000341","GIMN CAMPESTRE","MASCULINO","NO OFICIAL","B","N","ACADÉMICO","311,848,000,341","GIMN CAMPESTRE","S","URBANO","COMPLETA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","52","25","3","67","71","3","66","76","3","49","33","2","78","75","B1","300","53","PUBLICAR","NO"
"CC","COLOMBIA","M","10/17/2000","20,201","SB11202010014456","ESTUDIANTE","COLOMBIA","No","BOLIVAR","13","CARTAGENA DE INDIAS","13,001","Estrato 6","3 a 4","Tres","Postgrado","Educación profesional completa","No aplica","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Si","Si","Si","Si","Si","Si","No","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","3 a 5 veces por semana","Igual","Más de 2 horas","Más de 3 horas","0","No","062455","313001004768","COLEGIO BRITANICO DE CARTAGENA","MIXTO","NO OFICIAL","B","S","ACADÉMICO","313,001,004,768","COLEGIO BRITANICO DE CARTAGENA","S","RURAL","COMPLETA","13001","CARTAGENA DE INDIAS","13","BOLIVAR","N","13001","CARTAGENA DE INDIAS","BOLIVAR","13","68","75","4","76","94","4","65","75","3","72","89","4","82","86","B+","356","86","PUBLICAR","NO"
"CC","COLOMBIA","M","10/17/2000","20,201","SB11202010044630","ESTUDIANTE","COLOMBIA","No","META","50","VILLAVICENCIO","50,001","Estrato 3","1 a 2","Dos","Ninguno","Técnica o tecnológica completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","No","Si","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Igual","No leo por entretenimiento","Entre 1 y 3 horas","Más de 30 horas","Si, en efectivo","095489","350001006685","INSTITUTO JORGE TADEO LOZANO","MIXTO","NO OFICIAL","A","N","ACADÉMICO","350,001,006,685","INSTITUTO JORGE TADEO LOZANO","S","URBANO","SABATINA","50001","VILLAVICENCIO","50","META","N","50001","VILLAVICENCIO","META","50","32","2","1","23","1","1","40","13","1","33","7","1","43","14","A-","164","2","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","10/17/2000","20,201","SB11202010070139","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 3","7 a 8","Cinco","Técnica o tecnológica incompleta","Técnica o tecnológica incompleta","No aplica","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Si","Si","Si","Si","Si","Si","No","Si","0 A 10 LIBROS","Todos o casi todos los días","Todos o casi todos los días","3 a 5 veces por semana","Igual","30 minutos o menos","Entre 1 y 3 horas","0","No","195040","311001106606","COL BRITANICO SEDE KENNEDY","MIXTO","NO OFICIAL","A",,"ACADÉMICO","311,001,106,606","COL BRITANICO SEDE KENNEDY","S","URBANO","MAÑANA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","34","2","1","45","17","2","41","14","2","38","14","1","53","27","A1","203","10","PUBLICAR","NO"
"CC","COLOMBIA","M","10/17/2000","20,201","SB11202010071258","ESTUDIANTE","COLOMBIA","No","VALLE","76","CALI","76,001","Estrato 5","3 a 4","Tres","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","Si","Si","26 A 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","1 o 2 veces por semana","Mejor","No leo por entretenimiento","Entre 1 y 3 horas","0","No","089326","376001008633","INCOVAL","MIXTO","NO OFICIAL","B","N","ACADÉMICO","376,001,008,633","INCOVAL","S","URBANO","NOCHE","76001","CALI","76","VALLE","N","76001","CALI","VALLE","76","55","35","3","54","35","3","46","24","2","47","30","2","72","58","B1","261","32","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","10/17/2001","20,201","SB11202010051756","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 5","3 a 4","Tres","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","Si","MÁS DE 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Mejor","Entre 1 y 2 horas","Entre 1 y 3 horas","0","No","026369","311848002823","GIMN DEL NORTE","MIXTO","NO OFICIAL","B","N","ACADÉMICO","311,848,002,823","GIMNASIO DEL NORTE","S","URBANO","COMPLETA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","68","76","4","68","75","3","68","81","3","74","93","4","83","87","B+","353","85","PUBLICAR","NO"
"CC","COLOMBIA","M","11/17/1983","20,201","SB11202010069665","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","LA CEJA","5,376","Estrato 2","5 a 6","Dos","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","No","No","No","No","No","No","Si","No","11 A 25 LIBROS","1 o 2 veces por semana","1 o 2 veces por semana","Nunca o rara vez comemos eso","Peor","Más de 2 horas","No Navega Internet","Más de 30 horas","No","107144","311001105448","CENT DE EDUC DE ADULTOS CULTURAL","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,105,448","CENT DE EDUC DE ADULTOS CULTURAL - SEDE PRINCIPAL","S","URBANO","NOCHE","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","05615","RIONEGRO","ANTIOQUIA","05","42","8","2","36","6","2","35","6","1","39","15","1","45","17","A-","193","7","PUBLICAR","NO"
"CC","COLOMBIA","M","11/17/1999","20,201","SB11202010072863","ESTUDIANTE","COLOMBIA","No","NORTE SANTANDER","54","CÚCUTA","54,001","Estrato 2","5 a 6","Cinco","Primaria completa","No sabe","Pensionado","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","No",,"1 o 2 veces por semana","Todos o casi todos los días","1 o 2 veces por semana","Igual","No leo por entretenimiento","Entre 1 y 3 horas","Entre 21 y 30 horas","No","175968","354001012211","I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS","MIXTO","NO OFICIAL","A","N","ACADÉMICO","354,001,012,211","INSTITUCIÓN EDUCATIVA SINFRONTERAS - SEDE PRINCIPAL","S","URBANO","MAÑANA","54001","CÚCUTA","54","NORTE SANTANDER","N","54001","CÚCUTA","NORTE SANTANDER","54","39","6","2","41","12","2","39","11","1","36","10","1","48","21","A1","197","9","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","11/17/2000","20,201","SB11202010026978","ESTUDIANTE","COLOMBIA","No","ATLANTICO","08","BARRANQUILLA","8,001","Estrato 4","1 a 2","Dos","Educación profesional completa","Educación profesional completa","No sabe","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Si","Si","Si","Si","Si","Si","No","Si","26 A 100 LIBROS","Nunca o rara vez comemos eso","Nunca o rara vez comemos eso","Nunca o rara vez comemos eso","Mejor","No leo por entretenimiento","Más de 3 horas","0","Si, en efectivo y especie","721423","308573800031","COLEGIO MARYMOUNT","MIXTO","NO OFICIAL","B",,,"308,573,800,031","COLEGIO MARYMOUNT - SEDE PRINCIPAL","S","RURAL","UNICA","08573","PUERTO COLOMBIA","08","ATLANTICO","N","08001","BARRANQUILLA","ATLANTICO","08","38","5","2","32","4","1","31","3","1","42","20","2","72","58","B1","193","7","PUBLICAR","NO"
"CC","COLOMBIA","M","11/17/2000","20,201","SB11202010040154","ESTUDIANTE","COLOMBIA","No","NARIÑO","52","PASTO","52,001","Estrato 2","3 a 4","Dos","Educación profesional completa","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Es vendedor o trabaja en atención al público","Si","Si","Si","Si","No","No","Si","No","0 A 10 LIBROS","1 o 2 veces por semana","3 a 5 veces por semana","1 o 2 veces por semana","Igual","30 minutos o menos","Entre 30 y 60 minutos","Más de 30 horas","Si, en efectivo","104851","352001005239","COL INSUCA","MIXTO","NO OFICIAL","A","N","ACADÉMICO","352,001,005,239","COL INSUCA","S","URBANO","MAÑANA","52001","PASTO","52","NARIÑO","N","52001","PASTO","NARIÑO","52","57","39","3","66","69","3","56","48","3","52","39","2","51","25","A1","286","45","PUBLICAR","NO"
"CC","COLOMBIA","M","11/17/2000","20,201","SB11202010071205","ESTUDIANTE","COLOMBIA","No","CESAR","20","SAN DIEGO","20,750","Estrato 2","5 a 6","Uno","Ninguno","Técnica o tecnológica completa","No sabe","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","No","Si","Si","Si","MÁS DE 100 LIBROS","3 a 5 veces por semana","Todos o casi todos los días","3 a 5 veces por semana","Mejor","Más de 2 horas","Entre 1 y 3 horas","Entre 11 y 20 horas","Si, en especie","057372","120750000415","I.E. MANUEL RODRIGUEZ TORICES","MIXTO","OFICIAL","A","S","TÉCNICO/ACADÉMICO","120,750,000,415","I.E. MANUEL RODRIGUEZ TORICES","S","URBANO","NOCHE","20750","SAN DIEGO","20","CESAR","N","20001","VALLEDUPAR","CESAR","20","39","5","2","39","10","2","27","1","1","30","4","1","32","4","A-","168","3","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","11/17/2001","20,201","SB11202010074798","ESTUDIANTE","COLOMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142927","325307001817","COLEGIO DE EDUCACIÓN BÁSICA Y MEDIA ACADÉMICA PARA ADULTOS HEISEMBERG","MIXTO","NO OFICIAL","A",,"ACADÉMICO","325,307,001,817","COLEGIO DE EDUCACIÓN BÁSICA Y MEDIA ACADÉMICA PARA ADULTOS HEISEMBERG - SEDE PRINCIPAL","S","URBANO","NOCHE","25307","GIRARDOT","25","CUNDINAMARCA","N","25307","GIRARDOT","CUNDINAMARCA","25","33","2","1","26","1","1","35","6","1","29","4","1","33","5","A-","155","1","PUBLICAR","NO"
"CC","COLOMBIA","M","12/17/1967","20,201","SB11202010070171","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 3",,"Uno","Primaria completa","Primaria completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","Si","No","No","No","No","No","No","No","0 A 10 LIBROS",,"1 o 2 veces por semana","1 o 2 veces por semana","Igual","No leo por entretenimiento",,"Más de 30 horas","Si, en efectivo","199588","311001091609","COL TRIANGULO CHAPINERO","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,091,609","COL TRIANGULO CHAPINERO - SEDE PRINCIPAL","S","URBANO","SABATINA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","35","3","1","41","11","2","39","11","1","41","19","2","46","18","A-","198","9","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","12/17/1985","20,201","SB11202010048698","ESTUDIANTE","COLOMBIA","No","NORTE SANTANDER","54","TIBÚ","54,810","Estrato 1",,"Dos","Secundaria (Bachillerato) completa","Primaria completa","Es agricultor, pesquero o jornalero","Es agricultor, pesquero o jornalero","No","No","No","No","No","No","Si","No","0 A 10 LIBROS","Todos o casi todos los días","3 a 5 veces por semana","Nunca o rara vez comemos eso","Peor","No leo por entretenimiento","30 minutos o menos","Entre 21 y 30 horas","Si, en efectivo","717298","154810003020","COL INTEG FRANCISCO JOSE DE CALDAS","MIXTO","OFICIAL","A","N","TÉCNICO/ACADÉMICO","154,810,003,020","COL INTEG FRANCISCO JOSE DE CALDAS","S","URBANO","SABATINA","54810","TIBÚ","54","NORTE SANTANDER","N","54810","TIBÚ","NORTE SANTANDER","54","30","1","1","38","8","2","33","4","1","33","7","1","40","11","A-","170","3","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","12/17/1994","20,201","SB11202010070516","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","MEDELLÍN","5,001",,,,,,,,,,,,,,,,,,,,,,,,,"095869","305001022682","POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN","MIXTO","NO OFICIAL","OTRO","N","ACADÉMICO","305,001,022,682","POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN","S","URBANO","MAÑANA","05001","MEDELLÍN","05","ANTIOQUIA","N","05001","MEDELLÍN","ANTIOQUIA","05","49","20","2","42","14","2","44","19","2","44","24","2","34","5","A-","220","15","PUBLICAR","NO"
"CC","COLOMBIA","M","12/17/2000","20,201","SB11202010071625","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 3","3 a 4","Tres","Secundaria (Bachillerato) completa","Educación profesional incompleta","Pensionado","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","No","26 A 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Igual","30 minutos o menos","Más de 3 horas","Menos de 10 horas","Si, en efectivo","156182","311001108889","POLITECNICA COLOMBIANA (ANTES ESCUELA COLOMBIANA DE SISTEMAS)","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,108,889","POLITECNICA COLOMBIANA (ANTES ESCUELA COLOMBIANA DE SISTEMAS)  - SEDE PRINCIPAL","S","URBANO","SABATINA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","52","26","3","46","18","2","52","38","2","51","37","2","45","16","A-","249","27","PUBLICAR","NO"
"TI","COLOMBIA","F","06/09/2001","20,201","SB11202010074028","ESTUDIANTE","COLOMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175968","354001012211","I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS","MIXTO","NO OFICIAL","A","N","ACADÉMICO","354,001,012,211","INSTITUCIÓN EDUCATIVA SINFRONTERAS - SEDE PRINCIPAL","S","URBANO","MAÑANA","54001","CÚCUTA","54","NORTE SANTANDER","N","54001","CÚCUTA","NORTE SANTANDER","54","47","16","2","36","7","2","47","25","2","34","8","1","41","12","A-","205","11","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","12/17/2001","20,201","SB11202010070082","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 3","1 a 2","Dos","Educación profesional completa","Educación profesional incompleta","No aplica","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Si","Si","Si","Si","Si","No","No","No","26 A 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Peor","30 minutos o menos","Entre 1 y 3 horas","0","No","083048","311001103062","INSTITUTO STUDIUM","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,103,062","INST STUDIUM","S","URBANO","COMPLETA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","54","31","3","64","60","3","65","73","3","55","47","2","78","75","B1","305","55","PUBLICAR","NO"
"CC","COLOMBIA","M","01/18/1988","20,201","SB11202010071301","ESTUDIANTE","COLOMBIA","No","ANTIOQUIA","05","SAN JERÓNIMO","5,656","Estrato 1","3 a 4","Dos","Secundaria (Bachillerato) incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","Si","Si","11 A 25 LIBROS","3 a 5 veces por semana","Todos o casi todos los días","Todos o casi todos los días","Mejor","No leo por entretenimiento","30 minutos o menos","Más de 30 horas","Si, en efectivo","112284","305001025193","UNION PROFESIONAL PARA LA EDUCACION Y EL TRABAJO UPET","MIXTO","NO OFICIAL","OTRO","N","ACADÉMICO","305,001,025,193","UNION PROFESIONAL PARA LA EDUCACION Y EL TRABAJO UPET","S","URBANO","NOCHE","05001","MEDELLÍN","05","ANTIOQUIA","N","05001","MEDELLÍN","ANTIOQUIA","05","43","10","2","25","1","1","48","28","2","39","15","1","37","8","A-","193","7","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","01/18/1999","20,201","SB11202010074659","ESTUDIANTE","COLOMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"730416","376113001011","INST EDUC COOPERATIVO JOSE A. GALAN","MIXTO","NO OFICIAL","A",,"NO APLICA","376,113,001,011","IE COOPERATIVO JOSE A. GALAN","S","URBANO","NOCHE","76113","BUGALAGRANDE","76","VALLE","N","76834","TULUÁ","VALLE","76","30","1","1","28","2","1","33","4","1","26","2","1","36","7","A-","149","1","PUBLICAR","GENERACION E - GRATUIDAD"
"CC","COLOMBIA","M","01/18/2000","20,201","SB11202010072550","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 3","5 a 6","Cuatro","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es vendedor o trabaja en atención al público","Si","Si","Si","Si","Si","Si","No","No","0 A 10 LIBROS","3 a 5 veces por semana","1 o 2 veces por semana","1 o 2 veces por semana","Igual","No leo por entretenimiento","Más de 3 horas","Entre 11 y 20 horas","Si, en efectivo","112300","311001105928","CENT EDUC PROEDUCAR","MIXTO","NO OFICIAL","A","N","ACADÉMICO","311,001,105,928","CENT EDUC PROEDUCAR","S","URBANO","MAÑANA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","36","4","2","34","5","1","33","4","1","30","4","1","42","13","A-","170","3","PUBLICAR","NO"
"CC","COLOMBIA","M","01/18/2001","20,201","SB11202010006771","ESTUDIANTE","COLOMBIA","No","MAGDALENA","47","SANTA MARTA","47,001","Estrato 6","5 a 6","Cuatro","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","Si","Si","Si","Si","Si","Si","No","Si","26 A 100 LIBROS","3 a 5 veces por semana","Todos o casi todos los días","1 o 2 veces por semana","Peor","30 minutos o menos","Entre 1 y 3 horas","0","No","053363","447001004284","COLEGIO BILINGUE  SANTA MARTA","MIXTO","NO OFICIAL","B","S","ACADÉMICO","447,001,004,284","COL. BILINGUE SANTA MARTA","S","URBANO","COMPLETA","47001","SANTA MARTA","47","MAGDALENA","N","47001","SANTA MARTA","MAGDALENA","47","68","75","4","72","85","4","70","87","3","76","96","4","83","88","B+","362","90","PUBLICAR","NO"
"CC","COLOMBIA","M","01/18/2001","20,201","SB11202010022700","ESTUDIANTE","COLOMBIA","No","BOGOTÁ","11","BOGOTÁ D.C.","11,001","Estrato 6","5 a 6","Cuatro","Postgrado","Postgrado","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Si","Si","Si","Si","Si","Si","No","Si","26 A 100 LIBROS","Todos o casi todos los días","Todos o casi todos los días","Todos o casi todos los días","Igual","No leo por entretenimiento","Entre 30 y 60 minutos","0","No","142851","311001107513","COLEGIO VICTORIA","MIXTO","NO OFICIAL","B","S","ACADÉMICO","311,001,107,513","COLEGIO VICTORIA - SEDE PRINCIPAL","S","URBANO","COMPLETA","11001","BOGOTÁ D.C.","11","BOGOTÁ","N","11001","BOGOTÁ D.C.","BOGOTÁ","11","34","2","1","66","67","3","48","27","2","67","77","3","81","83","B+","279","41","PUBLICAR","NO"
"CC","COLOMBIA","M","01/18/2001","20,201","SB11202010039972","ESTUDIANTE","COLOMBIA","No","BOYACA","15","DUITAMA","15,238","Estrato 2","3 a 4","Dos","Primaria incompleta","Primaria incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","No","No","Si","Si","Si","Si","No","No","0 A 10 LIBROS","Todos o casi todos los días","Todos o casi todos los días","3 a 5 veces por semana","Igual","No leo por entretenimiento","Entre 30 y 60 minutos","Más de 30 horas","Si, en efectivo","157321","115238000931","COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR","MIXTO","OFICIAL","A","N","TÉCNICO/ACADÉMICO","115,238,000,931","COLEGIO TECNICO MUNICIPAL SIMÓN BOLIVAR","S","URBANO","SABATINA","15238","DUITAMA","15","BOYACA","N","15759","SOGAMOSO","BOYACA","15","53","28","3","38","9","2","44","19","2","48","31","2","43","14","A-","228","18","PUBLICAR","GENERACION E - GRATUIDAD"
